countryname,countrycode,continent,gdpcap,bsc_fem,bsc_mal,bsc_tot,popdens,urbpop,co2intens,forest,natresource,femparl,drinkwater,sanitation,healthexp,healthexpcap,doctors,nurses,lifexp_fem,lifexp_tot,lifexp_mal,infmort_tot,infmort_mal,infmort_fem,suicide_mal,suicide_fem,popgrowth,birthrate,deathrate,oldagedep,sexratio,totpop,tfr,contracep,hiv,internet,mobiles,gini,top10p,povrat,povgap215,povgap685,povgap365,hom_tot,hom_fem,hom_mal,armyexp,ptemp_fem,ptemp_mal,ptemp_tot,femmanage,emprat_fem,emprat_mal,emprat_tot,emp_serv,emp_indu,emp_agri,lfp_fem,lfp_mal,unemploy
Djibouti,DJI,Africa,3110.9946,,,,41.99987,77.915001,.13867195,.24590164,.33186367,26.153847,,37.049603,1.7982678,104.14179,,,69.357002,67.112,65.115997,48.599998,52.900002,44.099998,12.6,6.4000001,1.5145595,20.997999,6.9790001,6.9638305,1.039,973557,2.6760001,,.89999998,2.5079091,42.510578,,,,,,,,,,,,,,,11.344,34.627998,23.618999,62,13.44,24.549999,54.240002,72.080002,26.357
Dominica,DMA,North America,7894.3066,,,,95.744003,70.786003,.29989007,63.826668,.028274762,25,,,5.4600663,675.37415,,,,,,31.200001,33.599998,28.9,,,.25377539,,,,,71808,,,,21.17452,108.80682,,,,,,,18.103832,,,,,,,,,,,,,,,,
Dominican Republic,DOM,North America,8314.3447,,,,222.29263,81.828003,.30497026,44.214657,1.0554042,26.842106,,,5.929142,1140.0398,1.4518,1.4594001,77.380997,74.081001,70.990997,28.299999,30.799999,25.700001,8,1.8,1.0466206,19.193001,6.1880002,11.229517,1.05,10738957,2.323,62,1,8.6589689,83.323792,41.900002,33.099998,16.4,.2,5.5999999,.89999998,9.5540009,2.6987996,16.417583,.68958312,35.450001,22.48,27.74,50.599998,47.452999,74.870003,61.043999,72.400002,18.82,8.7799997,58.490002,83.660004,6.3600001
Ecuador,ECU,South America,5853.813,,,,69.953522,63.986,.38632423,50.580208,6.8988209,37.956203,66.609856,41.698986,7.8182468,934.51941,,,79.837997,77.010002,74.281998,11.6,12.9,10.1,11.6,3.5999999,1.6791726,19.459999,5.1209998,11.355679,1.05,17373656,2.4030001,72.400002,.40000001,12.043851,91.247887,45.700001,34.5,38.130001,1.1,10.9,3.3,6.8321829,1.7159631,11.932588,2.2338021,45.27,28.610001,35.57,37.299999,51.896,75.607002,63.659,53.040001,17.209999,29.74,58.23,83.690002,3.8099999
"Egypt, Arab Rep.",EGY,Africa,3964.9871,,,,100.84693,42.73,.62649888,.045185596,4.9876413,14.932886,,66.32486,4.7399735,582.22736,.74629998,,74.349998,71.989998,69.741997,17.200001,18.4,16,4,2,1.9762802,25.708,5.7779999,8.6655178,1.0599999,100388080,3.28,,.1,7.5695658,94.971703,,,,,,,,,,1.1809717,,,,7.0999999,12.528,65.236,38.901001,52.439999,26.940001,20.620001,20,75.190002,7.8400002
El Salvador,SLV,North America,3993.5291,7.70891,9.1092701,8.3370199,311.46478,72.746002,.3026489,28.396719,.55998141,30.952381,,,7.1657844,656.70599,,,77.842003,73.317001,68.455002,11.5,12.6,10.3,10.5,2.0999999,.50969911,18.054001,7.0700002,13.096225,1.05,6453550,2.0209999,,.5,8.1364174,161.10173,38.799999,29.799999,32,.30000001,8.8000002,1.6,37.157845,6.7051544,70.352356,1.1738305,25.709999,18.549999,21.52,43.099998,43.366001,72.542999,56.580002,61.200001,22.51,16.290001,49.279999,79.589996,4.1700001
Equatorial Guinea,GNQ,Africa,7412.5811,,,,48.341606,72.626999,.53226805,87.585739,27.180969,21,,,3.1350367,607.43268,,,59.917999,58.735001,57.743,60,65.400002,54.099998,9.3999996,6,3.5288403,32.783001,9.1120005,3.9996157,1.03,1355982,4.4289999,,6.9000001,.073747076,45.501945,,,,,,,,,,1.3127344,,,,,46.237999,54.252998,50.925999,41.139999,19.35,39.509998,56.169998,68.080002,8.6789999
Eritrea,ERI,Africa,,,,,28.882566,,,8.7414541,,22,,,4.4587669,81.846611,,,68.555,66.320999,64.153,30.5,34.700001,26.1,16.6,5.1999998,,29.738001,7.0120001,,1.052,,3.997,,.60000002,.085784949,37.488022,,,,,,,,,,,,,,,68.056999,82.306,75.100998,29.59,7.29,63.119999,74.919998,87.599998,5.994
Estonia,EST,Europe,20408.436,,,,31.037544,69.051003,.3759366,57.038597,1.1754667,29.702971,95.794235,93.061325,6.7304492,2616.814,,,83,78.646339,74.5,1.8,1.9,1.6,24.299999,6.5,.3683137,10.6,11.6,31.460869,1.0650001,1326855,1.66,,,32.531334,147.17715,30.799999,23.299999,24.299999,.30000001,.80000001,.5,1.7349992,.85834086,3.1916964,2.0240188,34.73,24.83,29.65,35.5,54.827,67.726997,60.818001,68.129997,28.700001,3.1700001,75.800003,81.989998,4.4499998
Eswatini,SWZ,Africa,3833.2468,,,,66.751915,23.981001,.21812841,28.857557,3.3589211,7.246377,,,6.7806907,610.49402,,,64.845001,60.194,56.007,37.700001,41.599998,33.599998,55.099998,4.6999998,1.0382656,25.881001,9.059,6.9037251,1.027,1148133,2.9579999,,29.1,.87098151,102.42743,,,,,,,,,,1.8861477,,,,,35.667,43.16,39.278,64.459999,23.389999,12.15,51.34,58.220001,22.837
